GeneID,GeneSymbol,Gene_AltReads_N2,Gene_AltReads_PRDE1,Gene_TotalReads_N2,Gene_TotalReads_PRDE1,Rate_N2,Rate_PRDE1,Log2FC
WBGene00023477,nspc-1,1,17,6157,7609,1.6241676140977748e-4,0.002234196346431857,3.781983547380514
WBGene00008356,nspc-20,1,26,5734,12350,1.7439832577607255e-4,0.002105263157894737,3.5935424860222134
WBGene00017312,pitr-5,1,8,2768,1915,3.61271676300578e-4,0.004177545691906005,3.5314995508244054
WBGene00303067,K01D12.20,1,8,3621,2662,2.7616680475006904e-4,0.003005259203606311,3.443877605564286
WBGene00008749,plpp-1.3,1,7,3185,2146,3.139717425431711e-4,0.0032618825722274,3.376998218444745
WBGene00013691,Y105E8B.6,1,6,2681,1670,3.729951510630362e-4,0.003592814371257485,3.2678856173423028
WBGene00201467,F36H12.65,1,7,1902,1434,5.257623554153522e-4,0.0048814504881450485,3.214827144216263
WBGene00202234,F36H12.66,1,7,1902,1434,5.257623554153522e-4,0.0048814504881450485,3.214827144216263
WBGene00006634,tsp-8,1,17,3433,6380,2.9129041654529564e-4,0.002664576802507837,3.1933762745553644
WBGene00006686,twk-34,1,18,2019,4541,4.952947003467063e-4,0.003963884606914776,3.0005558753494515
WBGene00171159,21ur-13999,1,7,1844,1786,5.422993492407809e-4,0.003919372900335946,2.853461497365719
WBGene00007690,sftd-3,1,5,2492,1974,4.012841091492777e-4,0.0025329280648429585,2.6581101734549666
WBGene00172481,21ur-14649,1,4,1624,1148,6.157635467980296e-4,0.003484320557491289,2.5004289905094885
WBGene00197002,F33D4.12,3,17,5694,5906,5.268703898840885e-4,0.0028784287165594313,2.449761477137495
WBGene00008239,fshr-1,3,26,4520,7359,6.63716814159292e-4,0.0035330887348824567,2.4122902554437275
WBGene00000671,col-96,1,16,1797,5674,5.564830272676684e-4,0.0028198801550934085,2.341224258235583
WBGene00022075,Y69A2AR.3,2,14,4964,6972,4.0290088638195e-4,0.002008032128514056,2.3172854680622756
WBGene00022698,ZK353.2,1,5,2070,2118,4.830917874396135e-4,0.002360717658168083,2.2888562732817133
WBGene00004851,sls-2.19,3,11,3098,2340,9.683666881859264e-4,0.004700854700854701,2.2792977322349426
WBGene00195439,T27A8.6,2,3,4705,1463,4.250797024442083e-4,0.002050580997949419,2.2702274541985683
WBGene00021629,scpl-3,2,4,3533,1504,5.660911406736484e-4,0.0026595744680851063,2.232089182213015
WBGene00007112,B0035.13,7,18,14684,8093,4.7670934350313264e-4,0.0022241443222537995,2.2220685983568993
WBGene00022474,zig-9,1,8,1364,2347,7.331378299120235e-4,0.0034086067319982955,2.217025802501002
WBGene00018926,F56A11.6,1,31,1947,13074,5.136106831022085e-4,0.0023711182499617563,2.206820497270107
WBGene00044542,CD4.11,1,12,2417,6503,4.137360364087712e-4,0.0018453021682300476,2.157074550046482
WBGene00235160,CD4.18,1,12,2417,6503,4.137360364087712e-4,0.0018453021682300476,2.157074550046482
WBGene00044686,flp-28,1,34,1112,8639,8.992805755395684e-4,0.003935640699154995,2.1297553051795703
WBGene00006711,ubc-16,13,48,11677,9904,0.0011132996488824184,0.004846526655896607,2.122109234303495
WBGene00020805,T25F10.1,1,6,5243,7275,1.9073049780659929e-4,8.247422680412372e-4,2.1124077985545027
WBGene00007679,C18D11.1,1,5,1717,1989,5.824111822947001e-4,0.002513826043237808,2.1097748580557525
WBGene00018473,cima-1,6,18,9541,6728,6.288648988575621e-4,0.00267538644470868,2.0889252793288255
WBGene00173764,21ur-14209,1,5,1554,1843,6.435006435006435e-4,0.0027129679869777536,2.0758585276643595
WBGene00220199,Y71H2AM.28,5,14,4882,3319,0.0010241704219582138,0.004218137993371497,2.0421504928730956
WBGene00003583,ndx-6,5,21,2395,2519,0.0020876826722338203,0.00833664152441445,1.9975638617806994
WBGene00195266,ZC132.10,22,14,20302,3240,0.0010836370800906315,0.004320987654320987,1.995479443049288
WBGene00022712,ZK355.2,2,6,2049,1552,9.760858955588092e-4,0.003865979381443299,1.9857539275452751
WBGene00007941,C34F6.7,1,18,1851,8418,5.402485143165856e-4,0.0021382751247327157,1.984752386971831
WBGene00023207,ZC132.t1,21,13,17768,2839,0.0011819000450247637,0.004579077139837971,1.9539488391849207
WBGene00012968,Y48A6B.7,2,6,2368,1853,8.445945945945946e-4,0.0032379924446842958,1.9387687003228402
WBGene00018878,glit-1,1,115,1277,38362,7.830853563038371e-4,0.0029977581982169855,1.9366425439828552
WBGene00009679,F44D12.2,3,7,2241,1369,0.0013386880856760374,0.005113221329437546,1.9334126235889417
WBGene00000961,dgn-1,2,3,4319,1703,4.6307015512850195e-4,0.0017615971814445098,1.927581382249636
WBGene00001770,gst-22,3,33,1304,3777,0.0023006134969325155,0.008737092930897538,1.9251347044282021
WBGene00020862,fip-2,9,13,6585,2512,0.001366742596810934,0.0051751592356687895,1.9208616929510294
WBGene00023487,mrps-24,3,10,3400,3026,8.823529411764706e-4,0.003304692663582287,1.905088352974533
WBGene00019844,abts-4,1,10,1724,4641,5.80046403712297e-4,0.0021547080370609784,1.893252171806269
WBGene00021779,Y51H7C.1,1,17,2298,10585,4.351610095735422e-4,0.0016060462919225318,1.8838922750015008
WBGene00008343,C56A3.4,1,3,6122,5004,1.633453119895459e-4,5.995203836930455e-4,1.8758837560823278
WBGene00044061,tbc-12,34,52,18580,7768,0.0018299246501614639,0.006694129763130793,1.8711122727415759
WBGene00220184,Y57A10A.44,2,9,2699,3348,7.410151908114116e-4,0.002688172043010753,1.8590504503588203
WBGene00013650,Y105C5B.9,1,11,1354,4106,7.385524372230429e-4,0.002679006332196785,1.8589257301036919
WBGene00019630,emb-1,9,17,3604,1888,0.0024972253052164264,0.009004237288135594,1.8502780862597241
WBGene00171253,21ur-8771,2,6,2774,2321,7.209805335255948e-4,0.0025850926324859974,1.8421837657002766
WBGene00012806,Y43F4B.9,4,15,3526,3693,0.0011344299489506524,0.004061738424045491,1.8401298077230863
WBGene00006767,unc-31,5,121,1098,7443,0.004553734061930784,0.01625688566438264,1.8359289607788436
WBGene00021314,Y32H12A.6,5,15,5822,4926,8.588114050154586e-4,0.0030450669914738123,1.8260607123449608
WBGene00001484,fox-1,2,7,2684,2651,7.451564828614009e-4,0.002640513013956997,1.8252029233905287
WBGene00006882,vab-19,3,8,2029,1538,0.0014785608674223755,0.005201560468140442,1.8147508610736762
WBGene00000518,ckk-1,1,6,1145,1959,8.733624454148472e-4,0.0030627871362940277,1.8101927014378756
WBGene00195518,ZK652.14,1,5,2416,3446,4.139072847682119e-4,0.0014509576320371445,1.809625847987493
WBGene00044493,Y54G2A.50,8,18,5762,3720,0.0013884068031933356,0.004838709677419355,1.8011920406067892
WBGene00045265,K10C2.8,1,44,1600,20203,6.25e-4,0.002177894372122952,1.801005890154709
WBGene00016028,flp-24,1,4,2202,2542,4.5413260672116256e-4,0.0015735641227380016,1.7928504385594102
WBGene00018831,F54E7.9,6,5,6169,1510,9.726049602852974e-4,0.0033112582781456954,1.7674536908842888
WBGene00013611,Y102A5C.2,2,28,1673,6902,0.001195457262402869,0.004056795131845842,1.7627778936604412
WBGene00010229,F58A4.6,7,14,7411,4389,9.445418971798677e-4,0.003189792663476874,1.7557759548844039
WBGene00198061,T06D10.7,1,7,2112,4431,4.734848484848485e-4,0.001579778830963665,1.738332429930112
WBGene00010028,F54B11.5,3,11,4088,4499,7.338551859099804e-4,0.0024449877750611247,1.7362599472747164
WBGene00008265,kcnl-4,2,6,4454,4016,4.49034575662326e-4,0.00149402390438247,1.7343047895581738
WBGene00018376,F43C9.2,6,17,6116,5369,9.810333551340746e-4,0.003166325200223505,1.6904353423294503
WBGene00044614,C36B1.14,7,29,5568,7158,0.001257183908045977,0.004051411008661637,1.688228740502312
WBGene00007633,C16D2.1,2,7,1374,1505,0.001455604075691412,0.004651162790697674,1.6759734392286396
WBGene00013980,dos-1,3,19,1102,2193,0.0027223230490018148,0.008663930688554491,1.6701834246199934
WBGene00011089,kmo-1,1,10,1492,4706,6.702412868632708e-4,0.0021249468763280916,1.6646743099183023
WBGene00220114,W02H5.17,1,4,3895,4932,2.5673940949935817e-4,8.110300081103001e-4,1.6594505285461925
WBGene00009222,fbxa-95,7,22,5112,5096,0.0013693270735524257,0.0043171114599686025,1.656599255270387
WBGene00000476,cfi-1,3,6,5422,3461,5.533013648100332e-4,0.0017336030049118752,1.647636171672264
WBGene00023432,K12B6.9,1,8,1438,3694,6.954102920723226e-4,0.002165674066053059,1.6388798094568597
WBGene00004860,sma-6,4,4,3978,1292,0.001005530417295123,0.0030959752321981426,1.6224372061398193
WBGene00008561,F07H5.10,9,46,18441,30741,4.880429477794046e-4,0.0014963729221560782,1.616389749079088
WBGene00011310,T01B4.3,2,10,1456,2378,0.0013736263736263737,0.004205214465937763,1.6141897353404027
WBGene00305050,NA,11,7,6205,1290,0.0017727639000805803,0.005426356589147287,1.6139834481274093
WBGene00001844,hid-1,2,4,2129,1396,9.394081728511038e-4,0.0028653295128939827,1.6088770082426416
WBGene00015286,best-3,4,13,3237,3465,0.001235712079085573,0.003751803751803752,1.6022417313256891
WBGene00014081,ipmk-1,7,19,7729,6915,9.056799068443525e-4,0.00274765003615329,1.6011251062474163
WBGene00014914,Y52B11A.11,5,20,11028,14717,4.5339136742836414e-4,0.0013589726167017734,1.583687558553851
WBGene00001591,glc-1,4,4,3004,1004,0.0013315579227696406,0.00398406374501992,1.5811255435634997
WBGene00303075,T04C10.11,1,7,1253,2952,7.980845969672786e-4,0.0023712737127371273,1.5710486153190684
WBGene00164985,ZK1010.10,3,10,3100,3498,9.67741935483871e-4,0.002858776443682104,1.5627035204061535
WBGene00014871,Y37H9A.5,1,9,1010,3081,9.900990099009901e-4,0.0029211295034079843,1.560881612042118
WBGene00303076,T04H1.13,1,3,1423,1450,7.027406886858749e-4,0.0020689655172413794,1.5578452623453418
WBGene00020322,T07F12.2,10,9,4902,1511,0.002039983680130559,0.005956320317670417,1.5458637302569604
WBGene00015510,erp-44.2,3,14,2658,4267,0.001128668171557562,0.0032809936723693462,1.5395114154115113
WBGene00196096,ZK616.62,2,4,5274,3664,3.792188092529389e-4,0.001091703056768559,1.5254780677676163
WBGene00303057,F33D11.17,2,5,2562,2225,7.8064012490242e-4,0.0022471910112359553,1.5253932344878867
WBGene00007870,C32H11.7,6,31,3816,6899,0.0015723270440251573,0.004493404841281345,1.5149077205087875
WBGene00019427,atg-16.2,3,6,5109,3675,5.871990604815032e-4,0.0016326530612244899,1.4752966857886096
WBGene00022260,Y73C8B.3,3,7,1765,1492,0.0016997167138810198,0.004691689008042895,1.4648130692397527
WBGene00001583,gfi-3,5,8,4571,2650,0.0010938525486764385,0.0030188679245283017,1.4645893643787484
WBGene00023263,D1005.t1,13,23,29794,19113,4.363294623078472e-4,0.0012033694344163659,1.4635898205674343
WBGene00020673,T22B7.4,1,15,1303,7133,7.674597083653108e-4,0.002102902004766578,1.4542187059532352
WBGene00007021,immp-1,12,43,3467,4536,0.003461205653302567,0.009479717813051146,1.4535694502415462
WBGene00019491,K07E3.2,7,41,4731,10171,0.0014796026210103573,0.004031068724805821,1.4459526183817006
WBGene00007072,ugt-1,1,27,1410,14000,7.092198581560284e-4,0.0019285714285714286,1.4432277427299334
WBGene00018582,F48A9.2,2,6,1244,1378,0.001607717041800643,0.0043541364296081275,1.4373730981474675
WBGene00007906,C33G3.6,44,30,20372,5216,0.0021598272138228943,0.005751533742331288,1.4130308246376773
WBGene00016760,C49A9.6,3,7,2247,1997,0.0013351134846461949,0.0035052578868302454,1.3925582130723828
WBGene00021323,Y34B4A.7,6,14,3073,2733,0.0019524894240156199,0.005122575923893158,1.3915547284062035
WBGene00013762,Y113G7B.12,15,76,5834,11294,0.002571134727459719,0.0067292367628829465,1.3880376727519552
WBGene00009009,F21D5.4,6,7,3670,1641,0.0016348773841961854,0.0042656916514320535,1.3835972455533103
WBGene00009234,F28H6.6,30,19,13674,3320,0.002193944712593243,0.00572289156626506,1.383217101587233
WBGene00017908,F28H1.1,6,26,3432,5741,0.0017482517482517483,0.004528827730360565,1.3732247146482113
WBGene00200080,C32D5.18,2,11,3425,7371,5.839416058394161e-4,0.001492334825668159,1.3536752482892276
WBGene00045121,C46C2.8,6,13,5701,4840,0.0010524469391334855,0.0026859504132231405,1.3516851713910403
WBGene00015518,C06E1.1,4,5,2679,1313,0.0014930944382232176,0.003808073115003808,1.3507557598368545
WBGene00017900,F28E10.1,4,8,2362,1867,0.001693480101608806,0.004284949116229245,1.3392870371709553
WBGene00002062,ife-4,2,3,1941,1161,0.0010303967027305513,0.002583979328165375,1.3263946465692533
WBGene00018305,exos-8,10,14,6877,3842,0.0014541224371092047,0.003643935450286309,1.3253486537598322
WBGene00018130,F36H12.17,16,56,7630,10665,0.0020969855832241153,0.005250820440693859,1.3242259185515632
WBGene00045129,Y75B12B.12,20,16,4850,1552,0.004123711340206186,0.010309278350515464,1.3219280948873624
WBGene00196376,K02D10.7,16,40,16294,16323,9.819565484227323e-4,0.002450529927096735,1.3193626739589939
WBGene00013638,Y105C5A.14,4,11,2840,3130,0.0014084507042253522,0.003514376996805112,1.319159891209361
WBGene00004821,skr-15,4,7,2252,1581,0.0017761989342806395,0.004427577482605946,1.3177243817794628
WBGene00020197,mans-3,9,30,7328,9811,0.0012281659388646289,0.003057792273978188,1.3159849049369743
WBGene00000963,dhp-1,12,27,4617,4182,0.002599090318388564,0.006456241032998565,1.3126876719020997
WBGene00003723,nhr-133,3,8,1979,2128,0.0015159171298635675,0.0037593984962406013,1.3103109608251662
WBGene00014141,ZK899.2,7,26,7122,10704,9.828699803426004e-4,0.002428998505231689,1.3052891158050899
WBGene00009049,F22B8.7,1,22,1123,10048,8.904719501335708e-4,0.0021894904458598726,1.2979530821462713
WBGene00012252,W04E12.7,2,23,2089,9776,9.573958831977022e-4,0.002352700490998363,1.2971301633053915
WBGene00004826,skr-20,5,17,3205,4441,0.0015600624024961,0.003827966674172484,1.2949745319019677
WBGene00008961,F19H6.6,10,43,9762,17148,0.001024380249948781,0.002507581059015629,1.291544994391447
WBGene00009769,F46B6.4,33,15,24519,4567,0.0013458950201884253,0.003284431793299759,1.2870779217687607
WBGene00022252,Y73B6BL.31,5,28,4635,10650,0.0010787486515641855,0.002629107981220657,1.285214640682572
WBGene00167521,21ur-12525,2,5,4300,4416,4.6511627906976747e-4,0.0011322463768115942,1.2835245825860158
WBGene00016523,C39B5.5,2,28,1688,9714,0.001184834123222749,0.002882437718756434,1.282604339741067
WBGene00021744,clec-203,2,4,2863,2361,6.985679357317499e-4,0.0016941973739940702,1.2781296287707105
WBGene00016902,C53D5.1,4,43,2706,11997,0.0014781966001478197,0.0035842293906810036,1.2778248121473497
WBGene00018788,shc-1,8,17,4674,4101,0.0017115960633290544,0.004145330407217752,1.2761448317059485
WBGene00022191,Y71H2B.1,5,25,4220,8722,0.001184834123222749,0.0028663150653519833,1.2745121034003037
WBGene00015638,C09E7.4,4,12,3126,3879,0.0012795905310300703,0.0030935808197989174,1.2735955031894102
WBGene00220048,R106.6,1,3,4230,5266,2.3640661938534278e-4,5.69692366122294e-4,1.2689126426824053
WBGene00017490,pud-2.1,3,136,5598,105389,5.359056806002144e-4,0.0012904572583476454,1.2678313444436675
WBGene00303050,C56G2.22,8,18,13998,13096,5.715102157451065e-4,0.0013744654856444715,1.2660194876735142
WBGene00008384,D1081.6,11,23,14753,12840,7.456110621568494e-4,0.0017912772585669781,1.2644934890975776
WBGene00219996,H40L08.6,2,8,3819,6363,5.236973029588898e-4,0.0012572685840012573,1.2634877983708028
WBGene00044213,Y102A5C.36,1,19,1033,8178,9.68054211035818e-4,0.0023233064318904377,1.263019704782279
WBGene00013008,clec-146,4,29,3008,9146,0.0013297872340425532,0.003170785042641592,1.2536446429982457
WBGene00023428,K07C5.10,1,2,2467,2089,4.0535062829347385e-4,9.573958831977022e-4,1.2399452232330148
WBGene00014199,ZK1053.4,5,6,2588,1315,0.0019319938176197836,0.0045627376425855515,1.2398092236466367
WBGene00010149,F56D5.5,11,15,6805,3948,0.0016164584864070536,0.003799392097264438,1.2329321489061806
WBGene00012830,mrps-28,12,36,12302,15732,9.754511461550967e-4,0.002288329519450801,1.2301532903818557
WBGene00009432,cld-9,5,6,4071,2086,0.0012281994595922379,0.0028763183125599234,1.2276784694540384
WBGene00008714,F11F1.1,4,18,3510,6804,0.0011396011396011395,0.0026455026455026454,1.2150128909708504
WBGene00012647,swt-4,4,13,3785,5301,0.0010568031704095112,0.002452367477834371,1.2144684777414134
WBGene00000535,cpi-1,12,40,19897,28601,6.031059958787757e-4,0.0013985524981643999,1.2134509268205802
WBGene00021246,Y22D7AL.7,4,5,2593,1406,0.0015426147319706903,0.0035561877667140826,1.2049537066681217
WBGene00020508,T14F9.2,9,15,2695,1949,0.003339517625231911,0.007696254489481785,1.204516776548184
WBGene00000224,atgp-1,5,55,2921,13974,0.0017117425539198905,0.0039358809217117504,1.2012208365344537
WBGene00013643,Y105C5A.24,1,11,1031,4934,9.699321047526673e-4,0.0022294284556141062,1.2007182357052826
WBGene00011180,R09H10.2,5,12,3780,3955,0.0013227513227513227,0.003034134007585335,1.1977429455820747
WBGene00006575,tir-1,14,144,3100,13986,0.004516129032258065,0.010296010296010296,1.1889267896962856
WBGene00011342,T01G5.7,8,8,4627,2037,0.0017289820618111088,0.0039273441335297005,1.1836311185994077
WBGene00009639,nspc-15,9,36,9382,16538,9.592837348113409e-4,0.002176804934091184,1.1821826312042765
WBGene00001461,flp-18,9,34,6552,10915,0.0013736263736263737,0.0031149793861658267,1.181232971570882
WBGene00016631,C44B7.11,30,41,16149,9742,0.001857700167193015,0.004208581400123178,1.1798163519097038
WBGene00022259,Y73C8B.2,6,4,4195,1240,0.0014302741358760429,0.0032258064516129032,1.1733681893317918
WBGene00044743,crb-3,8,12,2278,1518,0.003511852502194908,0.007905138339920948,1.1705584570138015
WBGene00022379,Y94H6A.7,10,15,3812,2555,0.0026232948583420775,0.005870841487279843,1.1621873288061144
WBGene00010459,slc-25A32,5,14,5196,6508,9.62278675904542e-4,0.0021511985248924403,1.160614006945595
WBGene00016710,fbxc-52,20,16,6996,2504,0.002858776443682104,0.006389776357827476,1.1603676321016718
WBGene00008233,C50F4.8,9,8,4522,1807,0.0019902697921273774,0.004427227448810182,1.153439484444617
WBGene00012933,mib-1,9,17,4577,3887,0.0019663535066637536,0.004373552868536146,1.1532830240694916
WBGene00015278,C01B10.3,5,41,4724,17429,0.0010584250635055038,0.0023524011704630214,1.152214983289121
WBGene00015779,lrch-1,2,6,1247,1688,0.0016038492381716118,0.0035545023696682463,1.1481090618436411
WBGene00020938,clec-218,3,17,3079,7877,9.74342318934719e-4,0.002158182049003428,1.147315932190402
WBGene00303063,T06E8.8,3,9,3468,4700,8.650519031141869e-4,0.0019148936170212765,1.146405642490629
WBGene00007773,C27C12.3,9,13,9414,6176,9.560229445506692e-4,0.0021049222797927462,1.138649817119953
WBGene00014053,ZK669.3,9,19,4321,4181,0.0020828511918537375,0.004544367376225784,1.1255196995468695
WBGene00015132,B0303.14,5,6,3156,1741,0.0015842839036755386,0.0034462952326249283,1.1212154081961512
WBGene00220244,ZK632.18,6,18,3624,4999,0.0016556291390728477,0.0036007201440288058,1.1209059290838683
WBGene00220085,T23D8.11,2,4,2845,2627,7.0298769771529e-4,0.0015226494099733537,1.1150124520603126
WBGene00001165,efn-4,8,7,8191,3309,9.766817238432426e-4,0.0021154427319431852,1.1149992247607914
WBGene00021872,clec-85,2,39,1641,14883,0.001218769043266301,0.002620439427534771,1.1043839997621265
WBGene00020973,W03B1.3,8,3,10614,1859,7.537214999057848e-4,0.0016137708445400753,1.098332279213289
WBGene00269391,F54F2.14,14,24,25109,20124,5.575689991636465e-4,0.0011926058437686344,1.096895056393178
WBGene00003590,nex-3,1,10,1787,8394,5.595970900951316e-4,0.0011913271384322134,1.0901092660429432
WBGene00220137,Y24D9A.13,5,9,5537,4698,9.030160736861117e-4,0.0019157088122605363,1.0850547150731489
WBGene00173055,21ur-14823,4,7,5774,4766,6.927606511950121e-4,0.0014687368862778011,1.0841470781033151
WBGene00022457,Y110A7A.7,3,11,3018,5232,9.940357852882703e-4,0.002102446483180428,1.0806993829447418
WBGene00022867,ZK1240.2,4,15,1920,3406,0.0020833333333333333,0.004403992953611274,1.0799184715384946
WBGene00009971,F53C11.1,5,17,1856,2994,0.0026939655172413795,0.0056780227120908485,1.0756572354321323
WBGene00200527,T10C6.19,23,26,22720,12246,0.0010123239436619718,0.0021231422505307855,1.0685300087222485
WBGene00010477,enu-3.6,1,41,1044,20432,9.578544061302681e-4,0.0020066562255285827,1.0669151914852444
WBGene00206487,best-19,15,23,8747,6403,0.001714873670972905,0.0035920662189598625,1.0667116443158466
WBGene00015507,C06A6.2,6,9,3414,2445,0.0017574692442882249,0.0036809815950920245,1.0665910939092984
WBGene00014148,ZK909.3,4,28,3726,12461,0.0010735373054213634,0.002247010673300698,1.0656346516150903
WBGene00003374,mlk-1,8,33,7804,15388,0.0010251153254741158,0.002144528203795165,1.064874067670865
WBGene00000073,add-2,2,4,3777,3614,5.295207836907599e-4,0.0011068068622025456,1.063644277575573
WBGene00017126,E04F6.6,24,51,9965,10138,0.002408429503261415,0.005030578023278753,1.0626314823872833
WBGene00219941,F40F11.6,14,29,10103,10035,0.0013857270117786796,0.0028898854010961633,1.0603692089965082
WBGene00017342,F10D7.5,9,12,6344,4057,0.0014186633039092057,0.0029578506285432584,1.0600169677765492
WBGene00017023,D1022.4,6,19,4346,6605,0.0013805798435342844,0.0028766086298258895,1.0590946257695224
WBGene00008588,F08G12.5,3,28,1376,6165,0.002180232558139535,0.004541768045417681,1.0587719967483447
WBGene00014954,Y102A5C.5,22,49,20656,22100,0.0010650658404337723,0.002217194570135747,1.0577927616189453
WBGene00019280,K01A2.5,6,13,3560,3706,0.0016853932584269663,0.003507825148407987,1.0574915772464302
WBGene00021131,W10D9.3,3,15,1378,3312,0.0021770682148040637,0.004528985507246377,1.0568013100923284
WBGene00019830,hrg-1,26,27,12971,6498,0.0020044715133759926,0.004155124653739612,1.051669843777763
WBGene00008849,try-10,7,8,4664,2576,0.0015008576329331046,0.003105590062111801,1.0490802730282753
WBGene00000157,aps-2,9,9,6150,2974,0.0014634146341463415,0.003026227303295225,1.0481817630615458
WBGene00007516,gpx-5,18,51,29129,40232,6.179408836554637e-4,0.001267647643666733,1.0366130565366574
WBGene00005153,srf-3,7,23,4091,6559,0.0017110730872647274,0.003506632108553133,1.035184696170664
WBGene00000461,ceh-40,41,49,16845,9857,0.0024339566636984267,0.004971086537486051,1.0302577368988866
WBGene00004354,rgs-11,41,25,13715,4105,0.002989427633977397,0.0060901339829476245,1.0266046802271134
WBGene00016335,gba-1,2,7,1791,3084,0.0011166945840312675,0.002269779507133593,1.0233174941285312
WBGene00010507,K02E2.6,1,11,1282,6942,7.8003120124805e-4,0.0015845577643330453,1.0224765154273923
WBGene00015646,mlt-10,12,12,4304,2130,0.0027881040892193307,0.005633802816901409,1.0148246474434237
WBGene00014460,MTCE.15,1,3,1423,2114,7.027406886858749e-4,0.0014191106906338694,1.0139227858649555
WBGene00000722,col-149,6,31,4502,11646,0.0013327410039982231,0.0026618581487205905,0.9980372476850545
WBGene00011540,T06E6.10,14,39,9180,12825,0.0015250544662309367,0.0030409356725146198,0.9956545297240358
WBGene00196611,F40F9.14,6,17,5634,8018,0.0010649627263045794,0.002120229483661761,0.9934174867533433
WBGene00196872,F40F9.15,6,17,5634,8018,0.0010649627263045794,0.002120229483661761,0.9934174867533433
WBGene00013259,trpp-5,35,53,29607,22534,0.0011821528692538927,0.002352001420076329,0.9924723225779891
WBGene00011634,T09A5.5,58,127,42460,46770,0.001365991521431936,0.0027154158648706435,0.9912246341310305
WBGene00023271,F19G12.t1,3,2,3775,1270,7.947019867549669e-4,0.0015748031496062992,0.9866856467191192
WBGene00045078,C46C2.7,15,30,12022,12134,0.0012477125270337714,0.0024723916268336904,0.9866217086887019
WBGene00020012,R11G1.6,2,15,1753,6635,0.0011409013120365088,0.002260738507912585,0.9866201261105011
WBGene00008254,C51E3.9,6,24,3666,7427,0.0016366612111292963,0.0032314528073246265,0.9814272075675168
WBGene00017923,F29B9.8,8,9,4131,2356,0.0019365770999757927,0.0038200339558573855,0.98007652246797194
WBGene00012007,T25B9.1,7,30,3241,7049,0.0021598272138228943,0.004255922825932757,0.9785560888043661
WBGene00023491,tsp-21,7,10,3493,2540,0.002004008016032064,0.003937007874015748,0.9742113185650947
